INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50121	0  	0.716397	0.24069	1023  	0.0571799	3.53275	0  	7  	2  	1023  	1.34355
INFO:gp:1  	775   	0.550393	1  	0.770319	0.278238	775   	0.0560299	3.50929	1  	11 	2  	775   	1.38828
INFO:gp:2  	771   	0.579159	2  	0.854449	0.335982	771   	0.0711173	3.435  	2  	10 	1  	771   	1.3092 
INFO:gp:3  	785   	0.607616	3  	0.87006 	0.269849	785   	0.0891634	3.63148	3  	9  	2  	785   	1.36714
INFO:gp:4  	799   	0.630931	4  	0.87006 	0.300018	799   	0.107087 	3.75073	4  	9  	1  	799   	1.39593
INFO:gp:5  	779   	0.664068	5  	0.877017	0.231964	779   	0.122104 	3.71945	5  	9  	1  	779   	1.39349
INFO:gp:6  	763   	0.706852	6  	0.905509	0.250452	763   	0.132097 	3.78592	6  	10 	1  	763   	1.40802
INFO:gp:7  	776   	0.740785	7  	0.905509	0.210545	776   	0.138426 	3.94428	7  	11 	2  	776   	1.52459
INFO:gp:8  	759   	0.768152	8  	0.905929	0.264926	759   	0.135288 	3.84164	8  	11 	1  	759   	1.41364
INFO:gp:9  	759   	0.772158	9  	0.905929	0.274649	759   	0.139264 	3.5738 	9  	11 	3  	759   	1.20124
INFO:gp:10 	768   	0.783207	10 	0.905929	0.441227	768   	0.141539 	3.3783 	10 	10 	1  	768   	1.03251
INFO:gp:11 	773   	0.778471	11 	0.907411	0.3488  	773   	0.155434 	3.2913 	11 	9  	1  	773   	1.01176
INFO:gp:12 	769   	0.798909	12 	0.907411	0.41881 	769   	0.152234 	3.21799	12 	9  	1  	769   	0.832143
INFO:gp:13 	787   	0.791215	13 	0.907411	0.430973	787   	0.153012 	3.26295	13 	9  	1  	787   	0.883356
INFO:gp:14 	782   	0.797254	14 	0.907411	0.428872	782   	0.147153 	3.27664	14 	9  	1  	782   	0.923629
