INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.501576	0  	0.632823	0.330847	1023  	0.036785	3.50733	0  	7  	2  	1023  	1.35408
INFO:gp:1  	767   	0.532217	1  	0.645704	0.409534	767   	0.0371377	3.56109	1  	10 	2  	767   	1.35777
INFO:gp:2  	781   	0.550632	2  	0.673558	0.404642	781   	0.0436298	3.67058	2  	10 	2  	781   	1.39472
INFO:gp:3  	766   	0.56552 	3  	0.682532	0.347233	766   	0.0541323	3.9042 	3  	9  	2  	766   	1.43228
INFO:gp:4  	760   	0.580238	4  	0.688694	0.36951 	760   	0.0578393	4.17204	4  	11 	2  	760   	1.48953
INFO:gp:5  	772   	0.59053 	5  	0.736355	0.373202	772   	0.0641746	4.18964	5  	9  	2  	772   	1.49525
INFO:gp:6  	747   	0.607016	6  	0.736355	0.402076	747   	0.0639733	3.98338	6  	12 	2  	747   	1.37166
INFO:gp:7  	791   	0.613435	7  	0.736355	0.403477	791   	0.0700011	3.95503	7  	10 	1  	791   	1.3019 
INFO:gp:8  	774   	0.625831	8  	0.736355	0.401108	774   	0.0732128	3.7654 	8  	11 	1  	774   	1.13837
INFO:gp:9  	794   	0.631041	9  	0.73865 	0.393982	794   	0.0768183	3.73607	9  	11 	1  	794   	1.15839
INFO:gp:10 	801   	0.632922	10 	0.73865 	0.408445	801   	0.0821936	3.67937	10 	11 	1  	801   	1.21285
INFO:gp:11 	765   	0.645743	11 	0.742398	0.356423	765   	0.0809949	3.69599	11 	11 	1  	765   	1.34348
INFO:gp:12 	789   	0.644852	12 	0.756617	0.427617	789   	0.0833211	3.75953	12 	15 	2  	789   	1.53386
INFO:gp:13 	757   	0.655492	13 	0.756617	0.411775	757   	0.0822081	3.88172	13 	15 	1  	757   	1.63917
INFO:gp:14 	780   	0.656562	14 	0.756617	0.433764	780   	0.0838799	3.97165	14 	15 	3  	780   	1.75648
INFO:gp:15 	790   	0.659328	15 	0.756617	0.429574	790   	0.0840829	3.84066	15 	15 	3  	790   	1.57169
INFO:gp:16 	798   	0.675158	16 	0.756617	0.423993	798   	0.0756243	3.7263 	16 	15 	3  	798   	1.58788
INFO:gp:17 	758   	0.69289 	17 	0.756617	0.479411	758   	0.067613 	3.60802	17 	15 	3  	758   	1.38834
INFO:gp:18 	771   	0.696277	18 	0.756617	0.439039	771   	0.0687431	3.53568	18 	15 	3  	771   	1.33764
INFO:gp:19 	777   	0.70081 	19 	0.756617	0.458354	777   	0.066588 	3.55425	19 	15 	3  	777   	1.31267
INFO:gp:20 	783   	0.695398	20 	0.756617	0.472249	783   	0.0731297	3.47801	20 	15 	3  	783   	1.255  
INFO:gp:21 	775   	0.695022	21 	0.756617	0.443853	775   	0.0731036	3.42326	21 	15 	3  	775   	1.20836
INFO:gp:22 	761   	0.700949	22 	0.756617	0.46831 	761   	0.0687285	3.41935	22 	15 	3  	761   	1.2008 
INFO:gp:23 	766   	0.695575	23 	0.756617	0.473491	766   	0.072914 	3.48583	23 	15 	3  	766   	1.2706 
INFO:gp:24 	768   	0.698772	24 	0.756617	0.466134	768   	0.0714973	3.4868 	24 	15 	3  	768   	1.27828
INFO:gp:25 	763   	0.696763	25 	0.756617	0.345523	763   	0.0715974	3.48289	25 	15 	3  	763   	1.29268
INFO:gp:26 	776   	0.696878	26 	0.756617	0.47988 	776   	0.072492 	3.49071	26 	15 	3  	776   	1.36485
INFO:gp:27 	777   	0.693263	27 	0.756617	0.365148	777   	0.0742228	3.49853	27 	15 	3  	777   	1.33666
INFO:gp:28 	785   	0.699345	28 	0.756617	0.470174	785   	0.0689166	3.48485	28 	15 	3  	785   	1.36837
INFO:gp:29 	783   	0.700982	29 	0.756617	0.483053	783   	0.0700802	3.4174 	29 	15 	3  	783   	1.22565
INFO:gp:30 	793   	0.697583	30 	0.756617	0.470464	793   	0.0722721	3.49853	30 	15 	3  	793   	1.32491
INFO:gp:31 	785   	0.69717 	31 	0.756617	0.477173	785   	0.0701805	3.46041	31 	15 	3  	785   	1.25457
INFO:gp:32 	764   	0.700729	32 	0.756617	0.468112	764   	0.0724945	3.44282	32 	15 	3  	764   	1.23425
INFO:gp:33 	766   	0.700162	33 	0.756617	0.410492	766   	0.0696071	3.43597	33 	15 	3  	766   	1.27444
INFO:gp:34 	780   	0.696505	34 	0.756617	0.498278	780   	0.0690716	3.45552	34 	15 	3  	780   	1.27451
INFO:gp:35 	749   	0.701349	35 	0.756617	0.477611	749   	0.0706442	3.47996	35 	15 	3  	749   	1.26821
INFO:gp:36 	764   	0.698853	36 	0.756617	0.486805	764   	0.0715789	3.4262 	36 	15 	3  	764   	1.2286 
INFO:gp:37 	763   	0.70025 	37 	0.756617	0.463823	763   	0.0705233	3.41838	37 	15 	3  	763   	1.20237
INFO:gp:38 	762   	0.699003	38 	0.756617	0.488581	762   	0.0714102	3.4741 	38 	15 	3  	762   	1.29782
INFO:gp:39 	784   	0.695212	39 	0.756617	0.473491	784   	0.0727341	3.45748	39 	15 	3  	784   	1.25057
INFO:gp:40 	769   	0.696159	40 	0.756617	0.478518	769   	0.0714507	3.48094	40 	15 	3  	769   	1.25037
INFO:gp:41 	744   	0.69959 	41 	0.756617	0.486801	744   	0.0706001	3.4477 	41 	15 	3  	744   	1.26265
INFO:gp:42 	758   	0.69824 	42 	0.756617	0.471624	758   	0.071558 	3.43891	42 	15 	3  	758   	1.25215
INFO:gp:43 	777   	0.698575	43 	0.756617	0.488753	777   	0.0709729	3.50929	43 	15 	3  	777   	1.39601
INFO:gp:44 	770   	0.69948 	44 	0.756617	0.47391 	770   	0.0699789	3.44086	44 	15 	3  	770   	1.28841
INFO:gp:45 	776   	0.698619	45 	0.756617	0.472563	776   	0.0707246	3.52004	45 	15 	3  	776   	1.40149
INFO:gp:46 	801   	0.693773	46 	0.756617	0.479396	801   	0.0733582	3.49853	46 	15 	3  	801   	1.35265
INFO:gp:47 	751   	0.699909	47 	0.756617	0.437142	751   	0.0687763	3.47312	47 	15 	3  	751   	1.35527
INFO:gp:48 	771   	0.699708	48 	0.756617	0.491297	771   	0.0680064	3.4565 	48 	15 	3  	771   	1.29055
INFO:gp:49 	794   	0.698918	49 	0.756617	0.453164	794   	0.0704825	3.4741 	49 	15 	3  	794   	1.29253
INFO:gp:50 	770   	0.69884 	50 	0.756617	0.486644	770   	0.0705978	3.48192	50 	15 	3  	770   	1.31218
