INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.366814	0  	0.524246	0.185439	1023  	0.0477139	3.9433	0  	7  	2  	1023  	1.41722
INFO:gp:1  	800   	0.413284	1  	0.536649	0.22397 	800   	0.0446862	4.22678	1  	10 	2  	800   	1.47557
INFO:gp:2  	775   	0.440401	2  	0.569987	0.27015 	775   	0.0470231	4.49169	2  	11 	2  	775   	1.55752
INFO:gp:3  	791   	0.455313	3  	0.580271	0.283022	791   	0.0512961	4.69697	3  	10 	2  	791   	1.47447
INFO:gp:4  	782   	0.470929	4  	0.592837	0.298277	782   	0.0545076	4.84262	4  	13 	2  	782   	1.48885
INFO:gp:5  	770   	0.484689	5  	0.604782	0.279772	770   	0.058945 	4.84066	5  	12 	2  	770   	1.37248
INFO:gp:6  	785   	0.502182	6  	0.6233  	0.299229	785   	0.0613957	4.91691	6  	12 	2  	785   	1.27689
INFO:gp:7  	763   	0.516361	7  	0.6233  	0.288815	763   	0.0658667	4.8739 	7  	11 	2  	763   	1.29014
INFO:gp:8  	791   	0.529038	8  	0.632555	0.308963	791   	0.0656009	4.81818	8  	10 	2  	791   	1.22781
INFO:gp:9  	767   	0.542251	9  	0.632555	0.29145 	767   	0.0659966	4.86315	9  	10 	2  	767   	1.2757 
INFO:gp:10 	752   	0.555052	10 	0.63696 	0.314876	752   	0.0641142	5.02542	10 	10 	3  	752   	1.25426
INFO:gp:11 	771   	0.55414 	11 	0.642472	0.311738	771   	0.0699342	5.05572	11 	11 	3  	771   	1.26762
INFO:gp:12 	766   	0.562392	12 	0.660183	0.292421	766   	0.0711345	5.19746	12 	12 	3  	766   	1.28838
INFO:gp:13 	783   	0.567047	13 	0.660183	0.303069	783   	0.0682799	5.3089 	13 	10 	2  	783   	1.35361
INFO:gp:14 	769   	0.568916	14 	0.688344	0.314518	769   	0.0683948	5.28152	14 	12 	2  	769   	1.49123
INFO:gp:15 	757   	0.574057	15 	0.688344	0.269052	757   	0.0746038	5.47801	15 	13 	3  	757   	1.76067
INFO:gp:16 	787   	0.578581	16 	0.720938	0.323639	787   	0.0771132	5.69892	16 	14 	2  	787   	2.21813
INFO:gp:17 	816   	0.579897	17 	0.720938	0.319899	816   	0.0860384	5.88856	17 	16 	3  	816   	2.71546
INFO:gp:18 	761   	0.589567	18 	0.720938	0.276139	761   	0.0924042	6.00489	18 	15 	3  	761   	2.85816
INFO:gp:19 	783   	0.599768	19 	0.720938	0.335472	783   	0.0940026	7.04985	19 	18 	3  	783   	2.68962
INFO:gp:20 	787   	0.620049	20 	0.720938	0.304118	787   	0.0917053	7.89638	20 	18 	3  	787   	2.04758
INFO:gp:21 	767   	0.643328	21 	0.720938	0.364103	767   	0.0839855	8.13099	21 	18 	3  	767   	1.90704
INFO:gp:22 	777   	0.6514  	22 	0.720938	0.315188	777   	0.0821533	8.07234	22 	16 	3  	777   	1.75661
INFO:gp:23 	766   	0.653729	23 	0.720938	0.345871	766   	0.0832015	8.06843	23 	16 	3  	766   	1.7456 
INFO:gp:24 	772   	0.653947	24 	0.720938	0.355912	772   	0.0841457	8.14467	24 	18 	3  	772   	1.73306
INFO:gp:25 	783   	0.654892	25 	0.720938	0.320438	783   	0.0879946	8.11339	25 	16 	3  	783   	1.72011
INFO:gp:26 	777   	0.657476	26 	0.720938	0.293694	777   	0.0845062	8.13099	26 	16 	3  	777   	1.80269
INFO:gp:27 	783   	0.661119	27 	0.720938	0.387463	783   	0.0799626	8.11144	27 	16 	3  	783   	1.65833
INFO:gp:28 	754   	0.658635	28 	0.720938	0.324464	754   	0.0831771	8.10166	28 	16 	3  	754   	1.7479 
INFO:gp:29 	792   	0.654661	29 	0.72445 	0.321935	792   	0.0838292	8.1564 	29 	16 	3  	792   	1.71788
INFO:gp:30 	779   	0.653472	30 	0.734963	0.295158	779   	0.0874099	8.1085 	30 	16 	3  	779   	1.60855
INFO:gp:31 	761   	0.660782	31 	0.734963	0.224348	761   	0.0816476	8.12512	31 	18 	3  	761   	1.79442
INFO:gp:32 	787   	0.661102	32 	0.747082	0.348495	787   	0.0835985	8.11632	32 	18 	3  	787   	1.72077
INFO:gp:33 	784   	0.662845	33 	0.747087	0.318835	784   	0.086006 	8.22287	33 	17 	3  	784   	1.85474
INFO:gp:34 	761   	0.667417	34 	0.747087	0.330311	761   	0.0879937	8.5044 	34 	21 	3  	761   	2.22308
INFO:gp:35 	793   	0.680097	35 	0.753608	0.312526	793   	0.0870551	9.33822	35 	21 	3  	793   	2.805  
INFO:gp:36 	770   	0.679692	36 	0.753608	0.312592	770   	0.0928965	10.086 	36 	22 	3  	770   	3.22388
INFO:gp:37 	779   	0.681836	37 	0.756945	0.298678	779   	0.0932521	9.71457	37 	27 	3  	779   	3.86814
INFO:gp:38 	781   	0.688899	38 	0.756945	0.300329	781   	0.0875041	10.5885	38 	24 	3  	781   	4.51561
INFO:gp:39 	784   	0.688898	39 	0.756945	0.340273	784   	0.0904952	12.9218	39 	26 	3  	784   	4.11821
INFO:gp:40 	783   	0.699782	40 	0.756945	0.302997	783   	0.08548  	13.1271	40 	25 	3  	783   	3.25151
INFO:gp:41 	763   	0.699813	41 	0.756945	0.338854	763   	0.086937 	12.9169	41 	24 	3  	763   	3.10487
INFO:gp:42 	771   	0.695856	42 	0.756945	0.321235	771   	0.09162  	11.7791	42 	23 	3  	771   	3.29876
INFO:gp:43 	787   	0.694634	43 	0.756945	0.305443	787   	0.0920093	10.6149	43 	23 	3  	787   	2.86351
INFO:gp:44 	765   	0.697244	44 	0.756945	0.359874	765   	0.086064 	10.2297	44 	22 	3  	765   	2.57915
INFO:gp:45 	751   	0.698434	45 	0.756945	0.29873 	751   	0.0913651	10.1437	45 	22 	3  	751   	2.40557
INFO:gp:46 	779   	0.698029	46 	0.756945	0.398442	779   	0.0873912	10.2043	46 	22 	3  	779   	2.39344
INFO:gp:47 	770   	0.698684	47 	0.756945	0.315363	770   	0.0869914	10.1466	47 	22 	3  	770   	2.43026
INFO:gp:48 	764   	0.699146	48 	0.756945	0.259995	764   	0.0902609	10.2131	48 	22 	3  	764   	2.23269
INFO:gp:49 	786   	0.693732	49 	0.756947	0.315163	786   	0.0933459	10.085 	49 	22 	3  	786   	2.34294
INFO:gp:50 	764   	0.6969  	50 	0.756947	0.298702	764   	0.0918954	10.1476	50 	22 	3  	764   	2.39679
INFO:gp:51 	774   	0.695892	51 	0.761263	0.325307	774   	0.0916054	10.1662	51 	22 	3  	774   	2.31189
